nanoplastics type,surface charge,nanoplastics shape,nanoplastics size(nm),nanoplastics dose(mg/g or mg/ml),adsorption of pollutant types,pollutant types,pollutants dose(mg/g or mg/ml),environmental media,photosynthetic organisms species,organisms category,organisms type,exposure time(day),Tem(¡æ),photosynthetic and biochemical indexes,index groups,nc,nt,avc,avt,sdc,sdt,study_id,year,effect_size,variance
PS,plain,sphere,207.3,0.02,CSNPs(Chitosan nanoparticles),Nanoparticle,0.05,freshwater,corn,Crops,C4,8,25,chla,Light Reaction,4,4,1.61812,0.84362,0.16518,0.04467,43,2025,-0.652270214,0.003309729
PS,plain,sphere,100,0.1,non,non,0,soil,Medicago sativa L.,Crops,C3,30,,WUE,Simultaneous Effect,5,5,2.88616,2.03556,0.128216138,0.245766231,19,2024,-0.347895559,0.003314491
PMMA,plain,sphere,50,0.005,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,2,22,chla,Light Reaction,3,3,699.86147,708.93885,56.27974,41.75594,40,2024,0.012387269,0.003314917
PS,plain,sphere,100,0.001,pyrene,Polycyclic Aromatic Hydrocarbon (PAH),0.0005,soil,water spinach,Crops,C3,40,25,chla,Light Reaction,3,3,3.51172,3.91069,0.34402,0.07646,53,2023,-0.106072123,0.003331488
PS,plain,sphere,207.3,0.02,CSNPs(Chitosan nanoparticles),Nanoparticle,0.05,freshwater,corn,Crops,C4,4,25,Tr,Simultaneous Effect,4,4,4.07009,3.54278,0.44183,0.13845,43,2025,-0.140035515,0.003332279
PS,plain,sphere,75,0.05,non,non,0,freshwater,Dictyosphaerium sp.,Algae & Microorganisms,Algae & Microorganisms,3,25,chla,Light Reaction,3,3,7.71451,7.87898,0.61818,0.47074,23,2021,0.020620227,0.003333258
PS,aminonted,sphere,41.5,0.001,non,non,0,freshwater,Synechococcus sp.,Algae & Microorganisms,Algae & Microorganisms,4,,chla,Light Reaction,5,5,5.96264,4.85762,0.358173369,0.555439286,42,2025,-0.204018113,0.003340257
PS,aminonted,sphere,50,0.02,non,non,0,seawater,Skeletonema costatum,Algae & Microorganisms,Algae & Microorganisms,1,22,chla,Light Reaction,3,3,482.40117,494.25628,32.93085,36.22393,40,2024,0.024396657,0.003346618
PS,plain,sphere,50,0.001,DEHP(di-(2-ethylhexyl) phthalate),Endocrine Disrupting Compound (EDC),0.001,freshwater,corn,Crops,C4,1,20,chlb,Light Reaction,6,6,0.7792,0.80363,0.08408,0.07446,17,2022,-0.030616317,0.00337432
PS,plain,sphere,80,0.0001,non,non,0,freshwater,Salvinia natans,Aquatic & Wetland Plants,C3,14,25,Total chl,Light Reaction,3,3,3.286,3.105,0.297,0.137,1,2024,-0.057694368,0.003375902
PS,plain,sphere,207.3,0.02,CSNPs(Chitosan nanoparticles),Nanoparticle,0.05,freshwater,corn,Crops,C4,8,25,Total chl,Light Reaction,4,4,2.36484,1.23179,0.22687,0.08157,43,2025,-0.652844254,0.003400406
PS,plain,sphere,80,0.02,non,non,0,freshwater,Spirodela polyrhiza,Aquatic & Wetland Plants,C3,10,25,chla,Light Reaction,3,3,5.09124,4.42213,0.457538541,0.204693764,26,2023,-0.141888868,0.003410161
PS,plain,sphere,207.3,0.02,CSNPs(Chitosan nanoparticles),Nanoparticle,0.05,freshwater,corn,Crops,C4,8,25,Ci,Calvin Cycle,4,4,148.28968,96.72172,15.09016,5.54494,43,2025,-0.428213267,0.00341418
PS,plain,sphere,20,0.005,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,19,25,chla,Light Reaction,3,3,13.78332,14.07349,0.41712,1.36019,45,2025,0.022237923,0.003423853
PS,plain,sphere,80,0.01,PCB-52(polychlorinonted biphenyl-52),Persistent Organic Pollutant (POP),0.0001,freshwater,Spirodela polyrhiza,Aquatic & Wetland Plants,C3,10,25,chla,Light Reaction,3,3,4.75408,5.09124,0.222741734,0.457538541,26,2023,-0.069498393,0.003427692
PS,plain,sphere,87.8,0.01,non,non,0,freshwater,Triticum aestivum L.,Crops,C3,21,25,Ci,Calvin Cycle,4,4,313.82,305.94,23.14,28.04,12,2020,-0.025060193,0.003462418
PS,plain,sphere,75,0.05,non,non,0,freshwater,Dictyosphaerium sp.,Algae & Microorganisms,Algae & Microorganisms,4,25,chlb,Light Reaction,3,3,4.59391,4.7561,0.38808,0.27222,23,2021,0.034053089,0.003474202
PS,plain,sphere,30,0.05,non,non,0,freshwater,Azolla fliculoides Lam.,Aquatic & Wetland Plants,C3,7,25,chla,Light Reaction,5,5,0.4,0.32,0.04472136,0.02236068,33,2024,-0.22390527,0.003480164
PS,plain,sphere,106,0.001,AgNPs(nanoAg),Nanoparticle,0.0001,freshwater,Willow,Aquatic & Wetland Plants,C3,28,29,chlb,Light Reaction,4,4,3.76702,4.31246,0.17636,0.47034,28,2023,-0.136437198,0.003526339
PS,plain,sphere,20,0.05,non,non,0,freshwater,Eichhornia crassipes,Aquatic & Wetland Plants,C3,2,23,Ci,Calvin Cycle,3,3,389.79053,361.37385,37.88892,12.48612,14,2023,-0.077072249,0.003552474
PS,plain,sphere,400,0.001,TBBPA(tetrabromobisphenol A),Endocrine Disrupting Compound (EDC),0.00025,freshwater,S. obliquus,Algae & Microorganisms,Algae & Microorganisms,3,,chlb,Light Reaction,3,3,100,71.85514,0.001,7.44642,41,2025,-0.328728141,0.003586202
PS,plain,sphere,80,0.075,non,non,0,freshwater,Chlorella pyrenoidosa,Algae & Microorganisms,Algae & Microorganisms,19,25,chla,Light Reaction,3,3,13.94654,14.16417,0.37179,1.42366,45,2025,0.0170494,0.003610096
